account_id,signup_date,cohort_month,country,industry,company_size_bucket,initial_plan,acquisition_channel
ACC-00001,2024-10-16,2024-10-01,US,EdTech,1-10,Basic,Organic
ACC-00002,2024-07-12,2024-07-01,US,HealthTech,1-10,Basic,Paid Search
ACC-00003,2023-01-28,2023-01-01,DE,EdTech,51-200,Basic,Paid Search
ACC-00004,2023-10-12,2023-10-01,AU,SaaS,51-200,Pro,Organic
ACC-00005,2023-06-09,2023-06-01,US,MarTech,1-10,Basic,Paid Search
ACC-00006,2023-12-19,2023-12-01,FR,MarTech,51-200,Pro,Outbound
ACC-00007,2024-01-23,2024-01-01,US,FinTech,11-50,Enterprise,Paid Search
ACC-00008,2023-07-16,2023-07-01,CA,SaaS,1-10,Basic,Organic
ACC-00009,2023-08-27,2023-08-01,NL,FinTech,11-50,Enterprise,Organic
ACC-00010,2023-12-30,2023-12-01,US,FinTech,200+,Pro,Paid Search
ACC-00011,2023-06-25,2023-06-01,DE,SaaS,11-50,Basic,Outbound
ACC-00012,2024-12-05,2024-12-01,DE,EdTech,51-200,Pro,Organic
ACC-00013,2023-02-02,2023-02-01,AU,HealthTech,1-10,Enterprise,Paid Search
ACC-00014,2023-11-19,2023-11-01,US,HealthTech,51-200,Pro,Organic
ACC-00015,2023-05-23,2023-05-01,US,E-Commerce,1-10,Pro,Outbound
ACC-00016,2024-02-13,2024-02-01,UK,HR Tech,1-10,Pro,Partner
ACC-00017,2023-04-23,2023-04-01,US,SaaS,51-200,Pro,Paid Search
ACC-00018,2024-09-02,2024-09-01,SE,E-Commerce,200+,Enterprise,Organic
ACC-00019,2023-04-28,2023-04-01,CA,E-Commerce,1-10,Pro,Organic
ACC-00020,2024-03-21,2024-03-01,US,SaaS,51-200,Pro,Outbound
ACC-00021,2023-07-02,2023-07-01,DE,SaaS,11-50,Enterprise,Paid Search
ACC-00022,2023-07-23,2023-07-01,US,MarTech,11-50,Pro,Paid Search
ACC-00023,2023-01-01,2023-01-01,DE,HealthTech,1-10,Basic,Outbound
ACC-00024,2023-11-11,2023-11-01,US,SaaS,11-50,Basic,Partner
ACC-00025,2023-03-12,2023-03-01,SE,E-Commerce,1-10,Pro,Outbound
ACC-00026,2023-06-19,2023-06-01,US,Logistics,11-50,Basic,Paid Search
ACC-00027,2024-12-07,2024-12-01,US,FinTech,200+,Pro,Paid Search
ACC-00028,2024-06-13,2024-06-01,UK,SaaS,1-10,Basic,Paid Search
ACC-00029,2024-08-25,2024-08-01,US,SaaS,11-50,Basic,Outbound
ACC-00030,2023-12-05,2023-12-01,US,SaaS,51-200,Basic,Organic
ACC-00031,2024-08-07,2024-08-01,DE,SaaS,11-50,Basic,Organic
ACC-00032,2024-11-05,2024-11-01,UK,HealthTech,11-50,Pro,Partner
ACC-00033,2024-10-23,2024-10-01,US,HealthTech,11-50,Enterprise,Organic
ACC-00034,2023-07-14,2023-07-01,DE,SaaS,1-10,Pro,Outbound
ACC-00035,2023-03-19,2023-03-01,UK,Logistics,11-50,Basic,Outbound
ACC-00036,2023-01-16,2023-01-01,SE,Logistics,51-200,Basic,Paid Search
ACC-00037,2023-08-07,2023-08-01,NL,Logistics,1-10,Basic,Paid Search
ACC-00038,2024-04-10,2024-04-01,US,EdTech,51-200,Pro,Partner
ACC-00039,2024-05-13,2024-05-01,US,FinTech,200+,Pro,Paid Search
ACC-00040,2023-11-18,2023-11-01,US,E-Commerce,11-50,Enterprise,Organic
ACC-00041,2024-06-04,2024-06-01,US,SaaS,11-50,Pro,Organic
ACC-00042,2023-05-03,2023-05-01,SE,E-Commerce,11-50,Basic,Organic
ACC-00043,2024-11-04,2024-11-01,DE,E-Commerce,200+,Basic,Partner
ACC-00044,2023-09-02,2023-09-01,US,SaaS,11-50,Pro,Outbound
ACC-00045,2023-03-16,2023-03-01,US,E-Commerce,11-50,Basic,Paid Search
ACC-00046,2024-06-02,2024-06-01,US,HR Tech,51-200,Enterprise,Paid Search
ACC-00047,2023-06-11,2023-06-01,UK,E-Commerce,11-50,Enterprise,Partner
ACC-00048,2024-06-25,2024-06-01,US,MarTech,1-10,Pro,Outbound
ACC-00049,2023-05-18,2023-05-01,US,Logistics,51-200,Basic,Organic
ACC-00050,2023-08-04,2023-08-01,CA,SaaS,11-50,Basic,Paid Search
ACC-00051,2023-02-22,2023-02-01,US,HealthTech,1-10,Basic,Partner
ACC-00052,2024-10-14,2024-10-01,SE,SaaS,11-50,Pro,Paid Search
ACC-00053,2023-04-25,2023-04-01,US,Logistics,200+,Pro,Partner
ACC-00054,2024-08-19,2024-08-01,DE,HealthTech,1-10,Basic,Outbound
ACC-00055,2023-02-10,2023-02-01,NL,SaaS,1-10,Basic,Partner
ACC-00056,2024-02-21,2024-02-01,SE,EdTech,200+,Basic,Organic
ACC-00057,2023-07-01,2023-07-01,NL,SaaS,51-200,Basic,Outbound
ACC-00058,2024-11-16,2024-11-01,NL,MarTech,1-10,Pro,Organic
ACC-00059,2023-02-09,2023-02-01,NL,SaaS,51-200,Pro,Organic
ACC-00060,2023-08-22,2023-08-01,US,EdTech,11-50,Basic,Organic
ACC-00061,2023-10-13,2023-10-01,UK,E-Commerce,51-200,Enterprise,Organic
ACC-00062,2023-01-29,2023-01-01,US,HR Tech,1-10,Enterprise,Organic
ACC-00063,2023-04-22,2023-04-01,DE,FinTech,51-200,Basic,Outbound
ACC-00064,2023-04-29,2023-04-01,UK,E-Commerce,1-10,Pro,Organic
ACC-00065,2024-07-05,2024-07-01,CA,HR Tech,51-200,Basic,Paid Search
ACC-00066,2024-11-11,2024-11-01,NL,E-Commerce,51-200,Basic,Outbound
ACC-00067,2024-06-03,2024-06-01,US,HealthTech,11-50,Basic,Organic
ACC-00068,2024-03-06,2024-03-01,FR,FinTech,51-200,Basic,Paid Search
ACC-00069,2024-02-20,2024-02-01,DE,SaaS,1-10,Basic,Paid Search
ACC-00070,2024-11-01,2024-11-01,US,HealthTech,51-200,Pro,Partner
ACC-00071,2023-06-23,2023-06-01,FR,FinTech,51-200,Pro,Organic
ACC-00072,2023-08-29,2023-08-01,FR,SaaS,1-10,Basic,Organic
ACC-00073,2024-05-01,2024-05-01,FR,MarTech,11-50,Enterprise,Paid Search
ACC-00074,2024-12-14,2024-12-01,UK,FinTech,1-10,Pro,Outbound
ACC-00075,2023-04-20,2023-04-01,CA,SaaS,51-200,Pro,Paid Search
ACC-00076,2024-07-24,2024-07-01,US,MarTech,11-50,Enterprise,Partner
ACC-00077,2024-07-26,2024-07-01,DE,HR Tech,51-200,Pro,Partner
ACC-00078,2024-05-31,2024-05-01,UK,Logistics,11-50,Basic,Outbound
ACC-00079,2024-04-05,2024-04-01,US,SaaS,11-50,Pro,Paid Search
ACC-00080,2024-10-03,2024-10-01,US,HealthTech,51-200,Basic,Organic
ACC-00081,2024-07-07,2024-07-01,US,SaaS,11-50,Basic,Organic
ACC-00082,2024-02-29,2024-02-01,UK,E-Commerce,11-50,Basic,Paid Search
ACC-00083,2024-08-21,2024-08-01,SE,SaaS,51-200,Pro,Paid Search
ACC-00084,2023-12-27,2023-12-01,US,FinTech,51-200,Enterprise,Paid Search
ACC-00085,2024-07-13,2024-07-01,AU,Logistics,11-50,Basic,Paid Search
ACC-00086,2024-02-03,2024-02-01,US,EdTech,11-50,Basic,Paid Search
ACC-00087,2023-05-11,2023-05-01,SE,E-Commerce,200+,Pro,Partner
ACC-00088,2023-03-27,2023-03-01,FR,SaaS,11-50,Basic,Paid Search
ACC-00089,2023-08-05,2023-08-01,UK,FinTech,51-200,Basic,Outbound
ACC-00090,2024-03-07,2024-03-01,US,SaaS,1-10,Pro,Outbound
ACC-00091,2023-12-25,2023-12-01,US,SaaS,200+,Basic,Organic
ACC-00092,2023-09-11,2023-09-01,US,SaaS,1-10,Basic,Partner
ACC-00093,2024-07-31,2024-07-01,SE,HealthTech,1-10,Basic,Paid Search
ACC-00094,2023-04-28,2023-04-01,CA,SaaS,11-50,Pro,Outbound
ACC-00095,2024-08-12,2024-08-01,FR,HR Tech,11-50,Pro,Organic
ACC-00096,2024-12-08,2024-12-01,AU,SaaS,51-200,Basic,Partner
ACC-00097,2023-05-04,2023-05-01,AU,E-Commerce,1-10,Pro,Partner
ACC-00098,2023-03-12,2023-03-01,DE,FinTech,51-200,Enterprise,Organic
ACC-00099,2024-01-06,2024-01-01,FR,MarTech,51-200,Basic,Partner
ACC-00100,2024-10-28,2024-10-01,US,MarTech,11-50,Pro,Paid Search
ACC-00101,2024-08-29,2024-08-01,US,Logistics,51-200,Basic,Outbound
ACC-00102,2023-09-07,2023-09-01,CA,E-Commerce,51-200,Basic,Paid Search
ACC-00103,2023-11-29,2023-11-01,US,SaaS,51-200,Basic,Outbound
ACC-00104,2024-12-19,2024-12-01,NL,E-Commerce,11-50,Basic,Organic
ACC-00105,2024-02-21,2024-02-01,UK,MarTech,51-200,Pro,Paid Search
ACC-00106,2023-01-18,2023-01-01,US,SaaS,51-200,Basic,Paid Search
ACC-00107,2024-04-29,2024-04-01,DE,FinTech,200+,Pro,Paid Search
ACC-00108,2024-04-09,2024-04-01,US,FinTech,1-10,Basic,Organic
ACC-00109,2024-07-02,2024-07-01,SE,EdTech,1-10,Pro,Organic
ACC-00110,2024-08-26,2024-08-01,SE,E-Commerce,1-10,Basic,Organic
ACC-00111,2023-08-21,2023-08-01,UK,FinTech,51-200,Basic,Organic
ACC-00112,2023-02-25,2023-02-01,DE,EdTech,1-10,Enterprise,Paid Search
ACC-00113,2023-01-13,2023-01-01,DE,HealthTech,11-50,Basic,Organic
ACC-00114,2024-05-04,2024-05-01,US,SaaS,11-50,Pro,Partner
ACC-00115,2023-06-05,2023-06-01,US,E-Commerce,11-50,Enterprise,Organic
ACC-00116,2024-03-02,2024-03-01,FR,MarTech,1-10,Pro,Paid Search
ACC-00117,2024-03-29,2024-03-01,US,E-Commerce,11-50,Pro,Organic
ACC-00118,2023-04-12,2023-04-01,SE,SaaS,1-10,Pro,Organic
ACC-00119,2023-06-27,2023-06-01,DE,SaaS,11-50,Pro,Paid Search
ACC-00120,2023-02-03,2023-02-01,US,EdTech,51-200,Pro,Partner
ACC-00121,2023-09-28,2023-09-01,AU,E-Commerce,51-200,Enterprise,Paid Search
ACC-00122,2024-07-11,2024-07-01,US,SaaS,1-10,Basic,Organic
ACC-00123,2023-11-11,2023-11-01,DE,MarTech,200+,Basic,Paid Search
ACC-00124,2023-11-08,2023-11-01,CA,HR Tech,11-50,Pro,Organic
ACC-00125,2023-02-10,2023-02-01,NL,EdTech,11-50,Basic,Organic
ACC-00126,2024-11-21,2024-11-01,AU,E-Commerce,200+,Enterprise,Partner
ACC-00127,2023-10-03,2023-10-01,DE,MarTech,1-10,Pro,Paid Search
ACC-00128,2023-10-12,2023-10-01,US,E-Commerce,11-50,Pro,Organic
ACC-00129,2023-12-23,2023-12-01,UK,FinTech,1-10,Basic,Paid Search
ACC-00130,2024-05-22,2024-05-01,US,HR Tech,51-200,Pro,Paid Search
ACC-00131,2023-11-19,2023-11-01,US,SaaS,51-200,Enterprise,Partner
ACC-00132,2023-01-02,2023-01-01,FR,E-Commerce,11-50,Basic,Paid Search
ACC-00133,2024-05-25,2024-05-01,FR,MarTech,1-10,Pro,Outbound
ACC-00134,2024-03-24,2024-03-01,NL,HealthTech,1-10,Pro,Partner
ACC-00135,2024-12-27,2024-12-01,US,E-Commerce,11-50,Basic,Outbound
